Title,Citations,DOI
Frustrated magnetic order in hybrid Kitaev spin-orbital models,0,None
Frustrated magnetic order in hybrid Kitaev spin-orbital models,0,https://doi.org/10.48550/arxiv.2605.05196
"Enhanced Andreev reflection in flat-band systems: Wave packet dynamics, dc transport, and the Josephson effect",0,https://doi.org/10.1103/qr7p-c56y
Spin Chern phases and persistent spin texture in a quasi 2D SSH model,0,https://doi.org/10.48550/arxiv.2603.11865
Spin Chern phases and persistent spin texture in a quasi 2D SSH model,0,None
Probing persistent spin textures through nonlinear magnetotransport,0,None
Probing persistent spin textures through nonlinear magnetotransport,0,https://doi.org/10.48550/arxiv.2603.04023
Exactly solvable spin liquids in Kitaev bilayers and moiré superlattices,0,https://doi.org/10.1103/2xvj-ns11
Spin-imbalance induced buried topological edge currents in Mott and topological insulator heterostructures,0,https://doi.org/10.1088/1367-2630/ae16c9
Frequency-selective amplification of nonlinear response in strongly correlated bosons,1,https://doi.org/10.1103/2x73-gp8k
